Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
MDC1,ENSG00000137337.14,13.415,37.431,-1.415,3.50E-30
PGBD1,ENSG00000137338.5,1.52,3.115,-0.707,6.12E-17
TPMT,ENSG00000137364.4,11.495,3.36,1.519,9.14E-51
RNF144B,ENSG00000137393.9,9.08,1.29,2.138,4.76E-44
NRM,ENSG00000137404.14,25.905,18.98,0.429,4.89E-05
MTCH1,ENSG00000137409.18,131.826,175.465,-0.41,2.67E-08
VARS2,ENSG00000137411.16,12.175,24.169,-0.934,1.36E-23
TAF8,ENSG00000137413.15,8.08,7.475,0.099,1.79E-01
FAM8A1,ENSG00000137414.5,9.425,18.165,-0.878,5.50E-17
FGFBP1,ENSG00000137440.4,0.935,0.07,0.855,5.06E-11
FGFBP2,ENSG00000137441.7,0.11,0.265,-0.189,1.48E-13
FHDC1,ENSG00000137460.8,2.355,0.34,1.324,7.59E-37
TLR2,ENSG00000137462.6,2.325,2.4,-0.032,8.55E-01
MGARP,ENSG00000137463.4,0.73,14.539,-3.167,1.07E-97
TTC29,ENSG00000137473.17,0.1,0.03,0.095,5.10E-04
MYO7A,ENSG00000137474.19,1.405,6.195,-1.581,3.09E-49
FCHSD2,ENSG00000137478.14,12.17,20.269,-0.692,1.27E-10
SLCO2B1,ENSG00000137491.14,7.385,9.438,-0.316,2.81E-01
PRKRIR,ENSG00000137492.7,22.175,18.51,0.248,3.82E-03
IL18BP,ENSG00000137496.17,8.725,12.115,-0.431,5.71E-06
NUMA1,ENSG00000137497.17,110.155,224.185,-1.019,6.18E-21
SYTL2,ENSG00000137501.16,2.97,5.945,-0.807,1.40E-08
RAB30,ENSG00000137502.9,1.4,5.02,-1.327,4.09E-56
LRRC32,ENSG00000137507.11,9.43,10.925,-0.193,3.29E-01
PRCP,ENSG00000137509.10,47.57,48.865,-0.038,6.15E-01
NARS2,ENSG00000137513.9,16.805,12.995,0.347,5.04E-06
RNF121,ENSG00000137522.17,18.845,17.155,0.128,1.00E+00
MRPL15,ENSG00000137547.8,72.649,21.304,1.723,2.59E-67
PI15,ENSG00000137558.7,0.18,4.084,-2.107,2.38E-72
TTPA,ENSG00000137561.4,0.15,0.02,0.173,6.75E-08
GGH,ENSG00000137563.11,26.14,3.16,2.706,4.12E-64
SLCO5A1,ENSG00000137571.10,0.095,0.03,0.088,5.58E-03
SULF1,ENSG00000137573.13,25.13,11.55,1.058,9.66E-04
TGS1,ENSG00000137574.10,8.595,7.66,0.148,8.91E-02
SDCBP,ENSG00000137575.11,66.93,86.291,-0.362,9.75E-07
NEK1,ENSG00000137601.15,1.48,6.75,-1.644,5.40E-99
NXPE4,ENSG00000137634.9,0,0.05,-0.07,2.04E-13
SORL1,ENSG00000137642.12,13.86,7.87,0.744,3.68E-08
TMPRSS4,ENSG00000137648.16,32.298,0.08,4.946,6.87E-75
TRPC6,ENSG00000137672.12,0.38,1.36,-0.774,5.06E-25
MMP7,ENSG00000137673.8,91.297,0.065,6.437,1.34E-67
MMP20,ENSG00000137674.3,0.02,0,0.029,7.06E-04
YAP1,ENSG00000137693.13,40.479,46.795,-0.204,8.17E-02
TRIM29,ENSG00000137699.16,32.34,0.97,4.081,4.12E-50
SLC37A4,ENSG00000137700.16,20.265,12.8,0.624,2.92E-12
POU2F3,ENSG00000137709.9,7.92,0.16,2.943,2.99E-48
RDX,ENSG00000137710.14,15.86,34.045,-1.056,4.71E-22
PPP2R1B,ENSG00000137713.15,5.195,12.633,-1.138,6.35E-23
FDX1,ENSG00000137714.2,6.535,4.395,0.482,8.86E-11
FXYD6,ENSG00000137726.15,23.455,318.058,-3.706,2.32E-66
FXYD2,ENSG00000137731.13,0.65,5.65,-2.011,7.49E-70
MMP13,ENSG00000137745.11,0.11,0,0.151,2.99E-07
TMPRSS13,ENSG00000137747.14,2.32,0.11,1.581,1.39E-24
MAP2K5,ENSG00000137764.19,8.635,18.86,-1.044,5.40E-37
UNC13C,ENSG00000137766.16,0.01,0.49,-0.561,1.63E-47
SQRDL,ENSG00000137767.13,18.12,7.065,1.245,3.09E-14
SLTM,ENSG00000137776.16,23.67,60.095,-1.308,2.06E-40
THBS1,ENSG00000137801.10,18.98,84.691,-2.101,9.22E-22
MAPKBP1,ENSG00000137802.13,3.605,24.698,-2.48,1.64E-83
NUSAP1,ENSG00000137804.12,25.36,5.35,2.054,2.70E-47
NDUFAF1,ENSG00000137806.8,7.865,13.21,-0.681,1.82E-14
KIF23,ENSG00000137807.13,10.305,1.14,2.401,1.44E-68
ITGA11,ENSG00000137809.16,2.485,2.483,0.001,6.00E-01
HAUS2,ENSG00000137814.9,6.595,7.175,-0.106,5.50E-01
RTF1,ENSG00000137815.14,16.82,19.18,-0.179,3.45E-02
PARP6,ENSG00000137817.16,36.985,100.45,-1.417,1.54E-39
RPLP1,ENSG00000137818.11,3274.592,3122.638,0.069,8.81E-01
PAQR5,ENSG00000137819.13,0.815,0.31,0.47,5.80E-09
LRRC49,ENSG00000137821.11,3.015,12.185,-1.715,5.30E-67
TUBGCP4,ENSG00000137822.12,5.495,6.12,-0.133,1.85E-01
RMDN3,ENSG00000137824.15,14.03,22.48,-0.644,1.28E-12
ITPKA,ENSG00000137825.10,0.485,0.45,0.034,1.20E-01
UACA,ENSG00000137831.14,14.505,52.001,-1.773,4.48E-50
SMAD6,ENSG00000137834.14,11.7,5.92,0.876,1.82E-10
PLCB2,ENSG00000137841.11,4.31,3.975,0.094,2.86E-01
TMEM62,ENSG00000137842.6,6.66,8.25,-0.272,8.37E-03
PAK6,ENSG00000137843.11,3.07,0.305,1.641,2.57E-50
SLC28A2,ENSG00000137860.11,0.06,0.18,-0.155,1.00E+00
STRA6,ENSG00000137868.18,7.72,0.83,2.253,3.20E-23
ZNF280D,ENSG00000137871.19,11.05,37.38,-1.671,6.18E-80
SEMA6D,ENSG00000137872.15,2.905,13.445,-1.887,3.05E-42
RSL24D1,ENSG00000137876.9,39.915,73.971,-0.874,1.10E-23
SPTBN5,ENSG00000137877.9,0.375,0.93,-0.489,9.53E-16
GCOM1,ENSG00000137878.16,0.09,0.285,-0.237,1.10E-04
GCHFR,ENSG00000137880.5,15.11,17.65,-0.211,4.09E-01
TTLL7,ENSG00000137941.16,0.51,1.265,-0.585,2.21E-11
FNBP1L,ENSG00000137942.16,14.98,10.965,0.417,2.14E-03
GTF2B,ENSG00000137947.11,21.12,27.244,-0.353,1.62E-05
RABGGTB,ENSG00000137955.15,33.291,68.192,-1.013,3.56E-32
IFI44L,ENSG00000137959.15,21.395,4.87,1.932,3.48E-17
GIPC2,ENSG00000137960.5,0.18,1.37,-1.006,3.51E-22
IFI44,ENSG00000137965.10,38.24,21.574,0.798,3.44E-05
SLC44A5,ENSG00000137968.16,0.88,0.8,0.063,7.28E-02
RPL7P9,ENSG00000137970.7,25.05,56.351,-1.139,1.40E-16
RTCA,ENSG00000137996.12,14.785,11.605,0.325,7.00E-03
IFT172,ENSG00000138002.14,36.564,50.418,-0.453,4.39E-05
EPT1,ENSG00000138018.17,4.985,3.665,0.359,3.80E-05
HADHB,ENSG00000138029.13,49.93,67.044,-0.418,1.37E-09
KHK,ENSG00000138030.12,2.14,5.13,-0.965,8.85E-17
PPM1B,ENSG00000138032.20,14.09,20.18,-0.489,1.90E-09
PNPT1,ENSG00000138035.14,9.96,9.52,0.059,1.00E+00
LHCGR,ENSG00000138039.14,0.02,1.44,-1.258,6.19E-90
THUMPD2,ENSG00000138050.14,5.785,20.831,-1.686,1.86E-78
RAB1A,ENSG00000138069.16,105.039,87.507,0.261,1.85E-02
PREB,ENSG00000138073.13,32.495,58.805,-0.836,4.29E-19
SLC5A6,ENSG00000138074.14,20.564,27.385,-0.396,8.97E-06
PREPL,ENSG00000138078.15,18.21,39.921,-1.091,1.21E-27
SLC3A1,ENSG00000138079.13,0.21,0.445,-0.256,6.97E-01
FBXO11,ENSG00000138081.19,15.88,40.119,-1.285,4.96E-37
SIX3,ENSG00000138083.4,0.09,0,0.124,3.04E-05
LRPPRC,ENSG00000138095.18,44.415,32.996,0.418,2.34E-10
TRIM54,ENSG00000138100.13,0.19,0.295,-0.122,3.47E-01
TMEM180,ENSG00000138111.14,2.51,1.41,0.542,1.35E-08
MYOF,ENSG00000138119.16,29.57,13.908,1.036,2.45E-09
LOXL4,ENSG00000138131.3,3.57,6.97,-0.802,6.44E-08
STAMBPL1,ENSG00000138134.11,1.175,12.525,-2.637,4.61E-127
KIF11,ENSG00000138160.5,7.86,0.355,2.709,3.64E-93
TACC2,ENSG00000138162.17,10.125,7.455,0.396,8.65E-02
KIF20B,ENSG00000138182.14,3.46,1.655,0.748,1.12E-22
ENTPD1,ENSG00000138185.16,4.47,3.88,0.165,5.66E-01
EXOC6,ENSG00000138190.16,4.075,4.18,-0.03,1.00E+00
PLCE1,ENSG00000138193.14,1.92,5.028,-1.046,1.81E-14
RBP4,ENSG00000138207.12,1.78,2.44,-0.307,1.48E-01
GPR87,ENSG00000138271.5,0.18,0,0.239,5.40E-06
FAM149B1,ENSG00000138286.14,12.08,22.525,-0.847,5.68E-25
ZNF365,ENSG00000138311.15,0.3,0.11,0.228,8.78E-09
OIT3,ENSG00000138315.12,0.06,0.04,0.027,1.86E-01
RPS24,ENSG00000138326.18,2682.29,5826.645,-1.119,8.30E-21
TET1,ENSG00000138336.8,0.49,0.825,-0.293,1.63E-02
MYPN,ENSG00000138347.15,0.01,0.02,-0.014,2.21E-04
SMARCAL1,ENSG00000138375.12,10.78,12.035,-0.146,3.37E-02
STAT4,ENSG00000138378.17,0.48,1.36,-0.673,2.16E-16
MSTN,ENSG00000138379.4,0.04,0.335,-0.36,5.29E-63
METTL5,ENSG00000138382.13,66.567,25.909,1.328,2.50E-53
SSB,ENSG00000138385.15,74.315,82.321,-0.146,2.57E-02
NAB1,ENSG00000138386.16,22.099,15.045,0.526,2.56E-06
PPIG,ENSG00000138398.15,30.195,28.19,0.096,1.00E+00
FASTKD1,ENSG00000138399.17,9.775,5.055,0.832,2.66E-27
MDH1B,ENSG00000138400.12,2.475,1.23,0.64,1.23E-06
HECW2,ENSG00000138411.10,0.475,0.44,0.035,3.85E-02
IDH1,ENSG00000138413.13,48.25,42.115,0.192,4.01E-01
OLA1,ENSG00000138430.15,110.35,29.83,1.853,2.14E-62
SSFA2,ENSG00000138434.16,16.55,18.76,-0.171,1.66E-01
FAM117B,ENSG00000138439.11,4.52,4.1,0.114,2.95E-01
WDR12,ENSG00000138442.9,31.475,19.144,0.689,3.28E-14
ITGAV,ENSG00000138448.11,14.335,28.09,-0.924,1.96E-13
SLC40A1,ENSG00000138449.10,39.87,141.999,-1.807,1.82E-17
SLC35A5,ENSG00000138459.8,17.515,18.477,-0.073,4.66E-02
SENP7,ENSG00000138468.15,3.55,25.545,-2.544,4.67E-103
PARP9,ENSG00000138496.16,27.67,12.72,1.063,2.22E-15
MNS1,ENSG00000138587.5,3.935,3.43,0.156,4.01E-01
USP8,ENSG00000138592.13,13.38,22.135,-0.686,3.57E-16
SECISBP2L,ENSG00000138593.8,5.775,14.1,-1.156,7.11E-31
TMOD3,ENSG00000138594.12,11.45,7.46,0.557,4.45E-07
SPPL2A,ENSG00000138600.9,14.83,11.505,0.34,1.06E-02
GLCE,ENSG00000138604.9,6.84,8.84,-0.328,7.47E-03
SHF,ENSG00000138606.19,5.035,21.175,-1.878,5.16E-51
VWA9,ENSG00000138614.14,21.655,22.235,-0.036,1.00E+00
PARP16,ENSG00000138617.14,6.155,14.2,-1.087,8.91E-32
PPCDC,ENSG00000138621.11,8.76,9.385,-0.09,2.45E-01
HCN4,ENSG00000138622.3,0.08,0.01,0.097,1.26E-06
SEMA7A,ENSG00000138623.9,3.01,8.084,-1.18,3.81E-18
UBL7,ENSG00000138629.15,57.071,29.73,0.918,5.05E-25
FAM13A,ENSG00000138640.14,5.415,26.984,-2.125,1.97E-65
HERC3,ENSG00000138641.15,12.87,40.279,-1.573,5.28E-20
HERC6,ENSG00000138642.14,8.465,7.605,0.137,2.38E-01
HERC5,ENSG00000138646.8,6.145,12.395,-0.907,7.18E-09
PCDH10,ENSG00000138650.8,0.22,1,-0.713,9.86E-07
NDST4,ENSG00000138653.9,0,0.09,-0.124,8.79E-44
ZGRF1,ENSG00000138658.15,1.34,3.31,-0.881,5.37E-28
HNRNPD,ENSG00000138668.18,131.438,230.24,-0.804,2.40E-20
PRKG2,ENSG00000138669.9,0.345,0.065,0.337,3.83E-09
RASGEF1B,ENSG00000138670.16,7.605,2.24,1.409,1.36E-30
SEC31A,ENSG00000138674.16,88.443,164.745,-0.89,1.24E-23
FGF2,ENSG00000138685.12,0.22,7.525,-2.805,6.29E-187
KIAA1109,ENSG00000138688.15,5.08,43.796,-2.881,2.38E-112
RAP1GDS1,ENSG00000138698.14,10.06,12.645,-0.303,2.52E-04
LARP1B,ENSG00000138709.17,6.29,9.77,-0.563,1.43E-08
MMRN1,ENSG00000138722.9,0.23,2.79,-1.624,1.33E-49
PDE5A,ENSG00000138735.15,1.615,6.957,-1.605,4.18E-58
PRDM5,ENSG00000138738.10,0.79,12.5,-2.915,6.07E-141
TRPC3,ENSG00000138741.10,0.07,0.15,-0.104,3.04E-09
NAAA,ENSG00000138744.14,8.175,6.855,0.224,1.79E-01
NUP54,ENSG00000138750.14,17.865,28.58,-0.649,4.05E-12
G3BP2,ENSG00000138757.14,28.02,25.96,0.106,9.03E-01
Sep-11,ENSG00000138758.11,13.93,17.165,-0.283,1.27E-01
FRAS1,ENSG00000138759.17,1.435,0.235,0.979,1.56E-18
SCARB2,ENSG00000138760.8,38.12,58.761,-0.611,1.89E-09
USO1,ENSG00000138768.14,19.055,33.549,-0.785,2.05E-19
SHROOM3,ENSG00000138771.14,9.61,0.59,2.738,4.73E-67
PPA2,ENSG00000138777.19,51.03,40.74,0.318,2.94E-03
GSTCD,ENSG00000138780.14,2.94,2.13,0.332,5.98E-04
INTS12,ENSG00000138785.14,11.195,11.04,0.018,1.00E+00
LEF1,ENSG00000138795.9,14.645,2.83,2.03,2.50E-25
HADH,ENSG00000138796.15,33.79,54.695,-0.679,2.88E-12
PAPSS1,ENSG00000138801.8,23.605,18.735,0.318,4.48E-03
SEC24B,ENSG00000138802.11,7.76,16.22,-0.975,2.29E-28
PPP3CA,ENSG00000138814.16,8.35,11.11,-0.373,6.91E-04
SLC39A8,ENSG00000138821.12,10.45,8.32,0.297,8.99E-03
MTTP,ENSG00000138823.12,0.1,1.29,-1.058,1.42E-75
FBN2,ENSG00000138829.10,0.655,0.325,0.321,2.74E-04
MAPK8IP3,ENSG00000138834.12,11.875,100.802,-2.983,1.40E-79
RGS3,ENSG00000138835.22,18.36,9.845,0.836,4.41E-13
GUCD1,ENSG00000138867.16,37.34,33.805,0.14,3.40E-02
RNF185,ENSG00000138942.15,15.985,23.285,-0.516,8.93E-10
KIAA1644,ENSG00000138944.7,0.175,0.57,-0.418,1.78E-07
PARVG,ENSG00000138964.16,7.81,3.215,1.064,5.19E-15
ERP27,ENSG00000139055.6,14.384,0.28,3.587,3.08E-48
ETV6,ENSG00000139083.10,13.545,4.48,1.408,3.04E-37
GABARAPL1,ENSG00000139112.10,15.61,113.554,-2.786,2.69E-87
KIF21A,ENSG00000139116.17,3.92,5.695,-0.444,2.68E-03
YARS2,ENSG00000139131.12,19.65,9.825,0.932,5.01E-29
FGD4,ENSG00000139132.14,2.83,12.901,-1.86,1.52E-59
PIK3C2G,ENSG00000139144.9,0,0.02,-0.029,1.00E+00
FAM60A,ENSG00000139146.13,93.121,27.146,1.742,1.43E-36
SLCO1C1,ENSG00000139155.8,0.07,0.065,0.007,7.00E-01
METTL20,ENSG00000139160.13,1.4,2.755,-0.646,1.07E-14
ETNK1,ENSG00000139163.15,8.26,13.575,-0.654,2.61E-12
ZCRB1,ENSG00000139168.7,72.7,35.001,1.034,1.09E-29
TMEM117,ENSG00000139173.9,3.01,2.7,0.116,1.58E-01
PRICKLE1,ENSG00000139174.10,3.255,7.625,-1.019,8.11E-10
NDUFA9,ENSG00000139180.10,95.912,42.25,1.164,8.64E-37
KLRG1,ENSG00000139187.9,1.395,0.75,0.453,1.19E-07
VAMP1,ENSG00000139190.16,4.59,11.025,-1.105,1.16E-18
TAPBPL,ENSG00000139192.11,40.514,17.81,1.142,1.05E-17
RBP5,ENSG00000139194.7,1.925,7.88,-1.602,3.12E-31
PEX5,ENSG00000139197.10,15.365,30.469,-0.943,9.18E-24
PIANP,ENSG00000139200.13,0.76,2.03,-0.784,2.73E-01
SLC38A4,ENSG00000139209.15,0.23,0.08,0.188,8.70E-06
SCAF11,ENSG00000139218.17,29.315,35.926,-0.285,1.72E-03
PPFIA2,ENSG00000139220.16,0.105,1.359,-1.094,5.60E-53
LLPH,ENSG00000139233.6,20.594,14.625,0.467,2.83E-09
RPL14P1,ENSG00000139239.7,13.285,25.13,-0.871,1.76E-14
LRIG3,ENSG00000139263.11,6.08,20.594,-1.609,9.22E-38
Mar-09,ENSG00000139266.5,14.15,9.098,0.585,3.00E-12
INHBE,ENSG00000139269.2,0.14,0.055,0.112,5.92E-04
GLIPR1,ENSG00000139278.9,6.755,11.525,-0.692,1.36E-11
PHLDA1,ENSG00000139289.13,4.875,10.55,-0.975,4.53E-08
TMEM19,ENSG00000139291.13,11.22,2.99,1.615,2.86E-40
LGR5,ENSG00000139292.12,4.025,0.66,1.598,1.48E-11
PTPRQ,ENSG00000139304.12,0.14,0.15,-0.013,4.85E-01
POC1B,ENSG00000139323.13,9.3,7.145,0.339,2.90E-04
TMTC3,ENSG00000139324.11,2.99,3.265,-0.096,9.64E-01
LUM,ENSG00000139329.4,70.45,301.151,-2.08,1.30E-12
KERA,ENSG00000139330.5,0.05,0.06,-0.014,1.67E-01
SNRPF,ENSG00000139343.10,42.774,23.546,0.835,7.41E-17
NEDD1,ENSG00000139350.11,6.09,4.98,0.246,2.67E-02
SYCP3,ENSG00000139351.14,0.3,0.23,0.08,3.47E-01
GAS2L3,ENSG00000139354.10,2.525,0.935,0.865,1.95E-22
TMEM132B,ENSG00000139364.10,0.55,0.17,0.406,9.48E-07
SLC15A4,ENSG00000139370.10,9.64,16.8,-0.742,3.60E-18
TDG,ENSG00000139372.14,11.27,15.22,-0.403,2.88E-05
RITA1,ENSG00000139405.15,22.38,10.565,1.016,3.76E-25
SDSL,ENSG00000139410.14,11.42,4.41,1.199,7.18E-23
MMAB,ENSG00000139428.11,27.47,34.48,-0.318,3.14E-06
GLTP,ENSG00000139433.9,19.365,17.274,0.156,1.97E-01
GIT2,ENSG00000139436.20,9.9,27.934,-1.408,2.48E-45
TCHP,ENSG00000139437.17,5.965,16.55,-1.333,1.07E-40
FAM222A,ENSG00000139438.5,1.81,9.68,-1.926,3.66E-45
FOXN4,ENSG00000139445.17,0.18,0.03,0.196,4.09E-08
NUPL1,ENSG00000139496.15,8.495,19.874,-1.136,1.58E-30
MTMR6,ENSG00000139505.11,3.94,5.955,-0.494,1.14E-09
SLC46A3,ENSG00000139508.14,3.94,4.56,-0.171,4.25E-01
SLC7A1,ENSG00000139514.12,12.665,2.39,2.011,3.76E-43
LNX2,ENSG00000139517.7,3.79,2.46,0.469,7.46E-09
SUOX,ENSG00000139531.12,13.555,23.42,-0.747,2.45E-15
SLC39A5,ENSG00000139540.11,0.2,0.855,-0.628,1.10E-08
TARBP2,ENSG00000139546.10,38.155,24.429,0.623,2.67E-09
RDH16,ENSG00000139547.7,0.13,0.84,-0.703,2.04E-62
GPR84,ENSG00000139572.3,1.41,0.2,1.006,3.85E-17
NABP2,ENSG00000139579.12,35.671,23.97,0.554,8.91E-11
N4BP2L1,ENSG00000139597.16,8.14,50.225,-2.487,4.31E-82
SMARCC2,ENSG00000139613.11,35.185,72.378,-1.02,3.03E-23
KANSL2,ENSG00000139620.12,16.595,29.846,-0.81,9.44E-24
MAP3K12,ENSG00000139625.12,12.105,52.044,-2.017,3.78E-53
ITGB7,ENSG00000139626.15,3.825,0.635,1.561,3.13E-33
GALNT6,ENSG00000139629.15,15.565,0.805,3.198,6.29E-63
LMBR1L,ENSG00000139636.15,13.855,93.26,-2.666,2.39E-100
ESYT1,ENSG00000139641.12,69.593,66.585,0.063,3.62E-01
TMBIM6,ENSG00000139644.12,467.929,212.32,1.136,3.83E-28
KRT71,ENSG00000139648.6,0.005,0,0.007,1.00E+00
ZNF740,ENSG00000139651.10,7.515,15.535,-0.957,6.20E-21
WDFY2,ENSG00000139668.8,2.13,9.565,-1.755,6.08E-64
HNRNPA1L2,ENSG00000139675.11,1.21,8.47,-2.099,3.87E-125
LPAR6,ENSG00000139679.15,6.095,11.924,-0.865,1.02E-13
ESD,ENSG00000139684.13,53.66,113.901,-1.072,6.73E-35
RB1,ENSG00000139687.13,13.215,10.32,0.329,3.67E-01
SBNO1,ENSG00000139697.11,4.565,5.914,-0.313,1.02E-02
MORN3,ENSG00000139714.12,1.1,0.44,0.544,1.76E-13
SETD1B,ENSG00000139718.10,10.355,15.67,-0.554,1.40E-06
VPS33A,ENSG00000139719.9,10.32,6.97,0.506,5.37E-08
VPS37B,ENSG00000139722.6,18.33,10.49,0.75,1.18E-04
RHOF,ENSG00000139725.7,31.075,4.815,2.464,3.10E-45
SLAIN1,ENSG00000139737.21,14.005,4,1.585,1.71E-28
RBM26,ENSG00000139746.15,11.185,28.698,-1.285,3.03E-37
SRRM4,ENSG00000139767.8,0,0.03,-0.043,1.66E-01
METTL21C,ENSG00000139780.7,0.01,0.02,-0.014,1.68E-01
MBNL2,ENSG00000139793.18,16.945,35.165,-1.011,4.84E-24
RNF113B,ENSG00000139797.7,0.05,0.025,0.035,4.44E-05
ZIC5,ENSG00000139800.8,0.01,0,0.014,2.74E-03
RAB20,ENSG00000139832.4,13.835,17.011,-0.28,1.76E-03
GRTP1,ENSG00000139835.13,7.38,13.625,-0.803,4.01E-08
TTC6,ENSG00000139865.16,0.055,0,0.077,6.11E-04
SSTR1,ENSG00000139874.5,0.04,0.545,-0.571,9.58E-41
REM2,ENSG00000139890.9,0.765,1.105,-0.254,1.03E-01
TSSK4,ENSG00000139908.14,0.735,2.22,-0.892,2.14E-24
NOVA1,ENSG00000139910.19,1.35,5.36,-1.436,2.46E-23
FITM1,ENSG00000139914.6,0.57,1.18,-0.474,3.07E-10
MDGA2,ENSG00000139915.18,0.05,0.01,0.056,3.76E-04
TMX1,ENSG00000139921.12,15.04,9.545,0.605,7.19E-09
FRMD6,ENSG00000139926.15,2.765,13.015,-1.896,4.74E-40
PELI2,ENSG00000139946.9,4.52,11.725,-1.205,3.77E-19
RTN1,ENSG00000139970.16,1.855,0.79,0.674,1.87E-06
SYT16,ENSG00000139973.15,0.02,0.01,0.014,3.08E-02
SLC38A6,ENSG00000139974.15,6.545,10.175,-0.567,1.35E-14
NAA30,ENSG00000139977.13,4.48,8.515,-0.796,3.58E-21
RDH12,ENSG00000139988.9,0.28,0.09,0.232,1.80E-04
RAB15,ENSG00000139998.14,4.405,2.71,0.543,3.98E-07
WDR89,ENSG00000140006.11,4.8,4.705,0.024,2.67E-01
ESR2,ENSG00000140009.18,0.21,4.7,-2.236,3.15E-142
STON2,ENSG00000140022.9,12.16,2.09,2.09,2.06E-38
GPR65,ENSG00000140030.5,0.72,0.12,0.619,3.10E-17
PTGR2,ENSG00000140043.11,7.065,7.789,-0.124,4.27E-01
JDP2,ENSG00000140044.12,31.56,18.15,0.766,6.50E-12
FAM181A,ENSG00000140067.6,5.835,0,2.773,1.20E-60
SLC24A4,ENSG00000140090.17,0.04,0.24,-0.254,1.70E-56
FBLN5,ENSG00000140092.14,23.99,94.93,-1.941,2.98E-33
SERPINA10,ENSG00000140093.9,0,0.51,-0.595,5.39E-127
WARS,ENSG00000140105.17,77.23,27.96,1.434,2.19E-22
WDR20,ENSG00000140153.17,9.27,13.525,-0.5,1.53E-09
NIPA2,ENSG00000140157.14,26.305,13.424,0.921,2.12E-17
SLC12A6,ENSG00000140199.11,3.365,6.335,-0.749,4.26E-15
MFAP1,ENSG00000140259.6,13.26,19.894,-0.551,5.23E-10
TCF12,ENSG00000140262.17,15.765,25.745,-0.674,7.00E-10
SORD,ENSG00000140263.13,19.66,4.82,1.828,2.73E-39
SERF2,ENSG00000140264.19,760.444,581.444,0.387,4.44E-04
ZSCAN29,ENSG00000140265.12,4.2,7.835,-0.765,1.40E-14
LYSMD2,ENSG00000140280.13,7.03,8.045,-0.172,2.48E-02
SLC27A2,ENSG00000140284.10,1.01,0.085,0.889,1.23E-24
FGF7,ENSG00000140285.9,0.73,20.649,-3.646,2.41E-85
HDC,ENSG00000140287.10,0.08,0.14,-0.078,2.62E-02
GCNT3,ENSG00000140297.12,0.76,0.105,0.672,1.88E-12
GTF2A2,ENSG00000140307.10,92.754,65.575,0.494,1.89E-10
SRP14,ENSG00000140319.10,414.577,354.944,0.223,1.21E-01
TLE3,ENSG00000140332.15,23.784,24.569,-0.045,1.39E-01
UBE2Q2,ENSG00000140367.11,17.425,17.235,0.015,1.00E+00
PSTPIP1,ENSG00000140368.12,2.275,2.189,0.038,5.04E-01
ETFA,ENSG00000140374.15,44.915,56.976,-0.336,2.20E-03
HMG20A,ENSG00000140382.14,10.78,19.03,-0.766,1.83E-17
SCAPER,ENSG00000140386.12,4.3,14.039,-1.505,1.44E-60
TSPAN3,ENSG00000140391.14,225.979,132.041,0.771,8.50E-14
WDR61,ENSG00000140395.8,33.82,48.25,-0.5,5.34E-09
NCOA2,ENSG00000140396.12,8.47,11.095,-0.353,1.74E-03
NEIL1,ENSG00000140398.13,4.87,55.276,-3.261,2.49E-90
MAN2C1,ENSG00000140400.14,30.89,325.349,-3.355,8.59E-112
MESDC1,ENSG00000140406.3,7.61,4.22,0.722,5.56E-15
TPM1,ENSG00000140416.19,81.88,329.206,-1.994,9.73E-53
IGF1R,ENSG00000140443.13,8.2,15.995,-0.885,5.79E-10
PIF1,ENSG00000140451.12,3.625,0.82,1.346,9.30E-27
USP3,ENSG00000140455.16,13.33,30.054,-1.116,1.28E-35
PML,ENSG00000140464.19,63.414,38.255,0.715,7.13E-12
LINS,ENSG00000140471.16,5.135,9.01,-0.706,3.16E-11
ULK3,ENSG00000140474.12,26.089,33.57,-0.352,1.78E-03
PCSK6,ENSG00000140479.16,1.6,6.069,-1.443,1.04E-13
SCAMP2,ENSG00000140497.16,70.69,37.059,0.914,4.05E-24
LMAN1L,ENSG00000140506.16,0,0.075,-0.104,2.96E-20
HAPLN3,ENSG00000140511.11,12.745,4.99,1.198,1.63E-13
RHCG,ENSG00000140519.12,0.43,0.56,-0.125,5.41E-01
POLG,ENSG00000140521.11,14.255,31.04,-1.071,1.20E-30
RLBP1,ENSG00000140522.11,0,0.03,-0.043,6.19E-03
FANCI,ENSG00000140525.17,8.475,3.645,1.028,1.49E-25
WDR93,ENSG00000140527.14,0.665,0.245,0.419,5.82E-12
TICRR,ENSG00000140534.13,2.13,1.675,0.227,3.75E-03
NTRK3,ENSG00000140538.16,0.265,2.539,-1.484,7.98E-28
MFGE8,ENSG00000140545.14,144.542,296.337,-1.031,1.64E-10
ZNF710,ENSG00000140548.9,8.385,5.04,0.636,2.50E-11
UNC45A,ENSG00000140553.16,26.049,54.33,-1.032,9.70E-28
ST8SIA2,ENSG00000140557.11,0.52,0.01,0.59,4.01E-12
MCTP2,ENSG00000140563.14,2.085,2.245,-0.073,6.91E-01
FURIN,ENSG00000140564.10,33.38,22.185,0.568,1.22E-06
IQGAP1,ENSG00000140575.12,83.487,63.583,0.388,1.15E-02
SH3GL3,ENSG00000140600.16,0.545,0.21,0.353,2.18E-07
SEC11A,ENSG00000140612.13,106.41,136.191,-0.353,1.18E-05
GLYR1,ENSG00000140632.16,32.41,37.34,-0.199,5.40E-02
