Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
AC006126.4,ENSG00000267045.1,0.575,0.705,-0.114,9.15E-03
AC006128.2,ENSG00000279716.1,5.6,14.205,-1.204,1.16E-16
AC006129.1,ENSG00000268355.1,0.06,0,0.084,7.15E-01
AC006129.2,ENSG00000268027.5,0.29,0.285,0.006,1.00E+00
AC006160.5,ENSG00000249502.1,0.12,0.25,-0.158,6.24E-08
AC006195.2,ENSG00000238090.1,0,0.12,-0.164,1.29E-43
AC006262.5,ENSG00000268621.5,0.65,0,0.722,5.11E-07
AC006272.1,ENSG00000269483.1,0.08,1.055,-0.928,6.29E-59
AC006272.2,ENSG00000268316.1,0.01,0,0.014,5.33E-02
AC006273.4,ENSG00000272473.1,0.29,0.05,0.297,2.12E-13
AC006273.5,ENSG00000267530.2,2.035,0.26,1.268,8.11E-30
